"DisplayName","DisplayVersion","Publisher","InstallDate","Size"
"Acer Jumpstart","3.5.22220.20","Acer","20221003","1929"
"Android Studio","2025.1","Google LLC",,
"Apple Mobile Device Support","19.0.1.27","Apple Inc.","20251105","111642"
"Avast Driver Updater","26.1.6336.21016","Gen Digital Inc.",,"278317"
"AWS Command Line Interface","1.40.12","Amazon Web Services Developer Relations","20250512","109144"
"Bonjour","3.1.0.1","Apple Inc.","20250208","2064"
"Brave","139.1.81.131","Auteurs de Brave","20250810",
"Docker Desktop","4.10.1","Docker Inc.",,
"DroidCam OBS Plugin","2.3.3","Dev47Apps",,
"ExpressVPN","2.4.22135.2","Acer","20220710","1941"
"Git","2.51.1","The Git Development Community","20251105","353185"
"Google Chrome","143.0.7499.147","Google LLC","20250810","133293"
"heroku",,"Heroku",,
"Microsoft Build of OpenJDK  17.0.17+10 (x64)","17.0.17.10","Microsoft","20251201","310106"
"Microsoft Edge","143.0.3650.96","Microsoft Corporation","20251219",
"Microsoft Edge WebView2 Runtime","143.0.3650.96","Microsoft Corporation","20251220",
"Microsoft GameInput","10.1.26100.6879","Microsoft Corporation","20251105","947"
"Microsoft OneDrive","25.222.1112.0002","Microsoft Corporation",,"467546"
"Microsoft OneNote - fr-fr","16.0.19426.20218","Microsoft Corporation",,
"Microsoft Teams Meeting Add-in for Microsoft Office","1.24.31301","Microsoft","20250113","32531"
"Microsoft Update Health Tools","5.72.0.0","Microsoft Corporation","20231207","1045"
"Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40664","12.0.40664.0","Microsoft Corporation",,"21062"
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40664","12.0.40664","Microsoft Corporation","20230314","11784"
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40664","12.0.40664","Microsoft Corporation","20230314","2524"
"Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.44.35211","14.44.35211.0","Microsoft Corporation",,"21235"
"Microsoft Visual C++ 2017 Redistributable (x86) - 14.16.27033","14.16.27033.0","Microsoft Corporation",,"20680"
"Microsoft Visual C++ 2017 X86 Additional Runtime - 14.16.27033","14.16.27033","Microsoft Corporation","20251111","10392"
"Microsoft Visual C++ 2017 X86 Minimum Runtime - 14.16.27033","14.16.27033","Microsoft Corporation","20251111","476"
"Microsoft Visual C++ 2022 X64 Additional Runtime - 14.44.35211","14.44.35211","Microsoft Corporation","20250804","11892"
"Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.44.35211","14.44.35211","Microsoft Corporation","20250804","2404"
"Node.js","20.14.0","Node.js Foundation","20240615","82849"
"OBS Studio","32.0.2","OBS Project",,
"obs-backgroundremoval version 1.1.13","1.1.13","Roy Shilkrot","20250527","106780"
